,ingre_count,is_described,duration,venue_0,venue_1,venue_2,venue_3,container_0,container_1,container_2,container_3,container_4,container_5,container_6,container_7,container_8,container_9
0,9,1,136,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,11,1,158,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,4,0,47,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,5,1,181,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4,4,1,133,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5,5,0,169,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6,7,1,185,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7,17,1,203,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8,5,1,15,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9,3,0,26,0,1,0,0,0,0,0,0,1,0,0,0,0,0
10,4,1,85,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11,3,1,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0
12,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0
13,0,0,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0
14,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0
15,5,0,33,0,1,0,0,0,0,1,0,0,0,0,0,0,0
16,0,0,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0
17,11,0,174,1,0,0,0,0,0,1,0,0,0,0,0,0,0
18,6,0,174,1,0,0,0,0,0,1,0,0,0,0,0,0,0
19,0,0,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20,0,0,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0
21,3,1,116,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22,8,1,73,0,1,0,0,1,0,0,0,0,0,0,0,0,0
23,9,1,127,0,1,0,0,0,0,0,0,0,0,0,0,1,0
24,4,1,21,0,1,0,0,1,0,0,0,0,0,0,0,0,0
25,10,1,164,0,1,0,0,0,0,0,0,0,0,0,0,1,0
26,5,1,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0
27,11,1,162,0,1,0,0,1,0,0,0,0,0,0,0,0,0
28,7,1,99,1,0,0,0,1,0,0,0,0,0,0,0,0,0
29,2,1,46,0,1,0,0,0,0,1,0,0,0,0,0,0,0
30,2,0,52,0,1,0,0,0,0,0,0,0,0,0,1,0,0
31,0,0,37,0,1,0,0,0,0,1,0,0,0,0,0,0,0
32,3,1,111,0,1,0,0,1,0,0,0,0,0,0,0,0,0
33,7,1,57,0,1,0,0,0,0,1,0,0,0,0,0,0,0
34,4,1,59,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,10,1,60,0,1,0,0,0,0,1,0,0,0,0,0,0,0
36,8,1,92,0,1,0,0,1,0,0,0,0,0,0,0,0,0
37,2,0,80,0,1,0,0,1,0,0,0,0,0,0,0,0,0
38,0,0,33,0,1,0,0,0,0,1,0,0,0,0,0,0,0
39,6,1,168,0,1,0,0,1,0,0,0,0,0,0,0,0,0
40,3,1,139,0,1,0,0,0,0,1,0,0,0,0,0,0,0
41,7,1,71,0,1,0,0,1,0,0,0,0,0,0,0,0,0
42,0,0,65,0,1,0,0,0,0,1,0,0,0,0,0,0,0
43,2,0,69,0,1,0,0,0,0,0,0,1,0,0,0,0,0
44,15,0,958,0,1,0,0,1,0,0,0,0,0,0,0,0,0
45,0,0,55,0,1,0,0,0,0,0,0,0,1,0,0,0,0
46,5,1,118,0,1,0,0,1,0,0,0,0,0,0,0,0,0
47,1,0,105,0,1,0,0,0,0,1,0,0,0,0,0,0,0
48,0,0,57,0,1,0,0,0,0,1,0,0,0,0,0,0,0
49,0,0,57,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50,1,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,1
51,0,0,43,0,1,0,0,1,0,0,0,0,0,0,0,0,0
52,5,0,103,0,1,0,0,1,0,0,0,0,0,0,0,0,0
53,0,0,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0
54,0,0,19,1,0,0,0,0,0,0,0,1,0,0,0,0,0
55,4,0,133,0,1,0,0,1,0,0,0,0,0,0,0,0,0
56,0,0,91,1,0,0,0,0,0,0,1,0,0,0,0,0,0
57,0,0,68,0,1,0,0,1,0,0,0,0,0,0,0,0,0
58,8,0,100,0,1,0,0,1,0,0,0,0,0,0,0,0,0
59,4,1,153,0,1,0,0,0,0,0,0,1,0,0,0,0,0
60,4,0,164,0,1,0,0,1,0,0,0,0,0,0,0,0,0
61,1,0,93,0,1,0,0,1,0,0,0,0,0,0,0,0,0
62,6,0,85,0,1,0,0,1,0,0,0,0,0,0,0,0,0
63,5,0,112,0,1,0,0,0,0,0,0,0,0,1,0,0,0
64,4,0,83,0,1,0,0,0,0,1,0,0,0,0,0,0,0
65,4,0,118,0,1,0,0,1,0,0,0,0,0,0,0,0,0
66,5,0,84,0,1,0,0,1,0,0,0,0,0,0,0,0,0
67,0,0,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0
68,1,0,43,1,0,0,0,0,0,0,0,0,0,0,1,0,0
69,0,0,87,1,0,0,0,0,0,0,0,1,0,0,0,0,0
70,1,0,42,1,0,0,0,1,0,0,0,0,0,0,0,0,0
71,2,0,110,1,0,0,0,0,0,1,0,0,0,0,0,0,0
72,5,0,124,1,0,0,0,0,0,0,0,0,0,0,0,0,1
73,0,0,49,1,0,0,0,0,0,0,0,1,0,0,0,0,0
74,1,0,56,1,0,0,0,0,0,0,0,0,0,0,1,0,0
75,8,1,107,0,1,0,0,0,0,1,0,0,0,0,0,0,0
76,2,1,117,0,1,0,0,0,0,0,0,1,0,0,0,0,0
77,12,1,314,0,1,0,0,1,0,0,0,0,0,0,0,0,0
78,5,1,81,0,1,0,0,0,0,1,0,0,0,0,0,0,0
79,4,1,169,0,1,0,0,0,0,1,0,0,0,0,0,0,0
80,1,0,132,0,1,0,0,0,0,1,0,0,0,0,0,0,0
81,9,1,127,0,1,0,0,1,0,0,0,0,0,0,0,0,0
82,4,1,56,0,1,0,0,1,0,0,0,0,0,0,0,0,0
83,2,1,41,0,1,0,0,1,0,0,0,0,0,0,0,0,0
84,4,1,213,1,0,0,0,0,0,0,1,0,0,0,0,0,0
85,0,0,316,0,1,0,0,0,0,1,0,0,0,0,0,0,0
86,1,0,307,0,1,0,0,0,0,1,0,0,0,0,0,0,0
87,11,1,84,1,0,0,0,1,0,0,0,0,0,0,0,0,0
88,6,1,87,1,0,0,0,1,0,0,0,0,0,0,0,0,0
89,2,1,29,0,1,0,0,0,0,1,0,0,0,0,0,0,0
90,4,1,48,0,1,0,0,0,0,1,0,0,0,0,0,0,0
91,3,1,41,0,1,0,0,0,0,1,0,0,0,0,0,0,0
92,4,1,32,0,1,0,0,0,0,1,0,0,0,0,0,0,0
93,2,0,22,0,1,0,0,0,0,1,0,0,0,0,0,0,0
94,9,1,125,0,1,0,0,0,0,0,1,0,0,0,0,0,0
95,6,1,243,0,1,0,0,0,1,0,0,0,0,0,0,0,0
96,4,0,76,0,1,0,0,0,0,0,0,0,0,0,1,0,0
97,9,1,300,0,1,0,0,1,0,0,0,0,0,0,0,0,0
98,4,0,42,0,1,0,0,0,0,0,0,0,0,0,1,0,0
99,6,1,243,0,1,0,0,1,0,0,0,0,0,0,0,0,0
100,3,1,69,0,1,0,0,0,0,1,0,0,0,0,0,0,0
101,4,1,130,0,1,0,0,0,0,1,0,0,0,0,0,0,0
102,4,1,105,0,1,0,0,1,0,0,0,0,0,0,0,0,0
103,11,1,70,0,1,0,0,1,0,0,0,0,0,0,0,0,0
104,6,1,113,0,1,0,0,1,0,0,0,0,0,0,0,0,0
105,2,0,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0
106,0,1,28,1,0,0,0,0,0,0,0,0,0,1,0,0,0
107,2,0,136,0,1,0,0,1,0,0,0,0,0,0,0,0,0
108,4,0,133,0,1,0,0,1,0,0,0,0,0,0,0,0,0
109,3,1,132,0,1,0,0,0,0,0,0,1,0,0,0,0,0
110,6,1,114,0,1,0,0,1,0,0,0,0,0,0,0,0,0
111,9,1,639,0,1,0,0,1,0,0,0,0,0,0,0,0,0
112,4,1,24,0,1,0,0,0,0,1,0,0,0,0,0,0,0
113,4,1,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0
114,2,0,81,0,1,0,0,0,0,1,0,0,0,0,0,0,0
